celltype,Organism,Dosage,Organism_Dosage,Time,replicate,mean_virus_counts,mean_virus_normalized_counts,fraction_virus_positive_cells,cell_counts,cells_with_virus
Bronchial,Roborovski hamster,1x10$^5$ pfu,"Roborovski hamster, 1x10$^5$ pfu",3 dpi,1,1.6802030456852792,0.047305774203141374,0.1700507614213198,394,67
Bronchial,Roborovski hamster,1x10$^5$ pfu,"Roborovski hamster, 1x10$^5$ pfu",3 dpi,2,0.12173913043478261,0.00251649791153715,0.0782608695652174,230,18
Bronchial,Roborovski hamster,1x10$^5$ pfu,"Roborovski hamster, 1x10$^5$ pfu",3 dpi,3,0.10580204778156997,0.001729841516175709,0.013651877133105802,293,4
Bronchial,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",2 dpi,1,0.2761904761904762,0.010791403092381375,0.18412698412698414,315,58
Bronchial,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",2 dpi,2,0.022151898734177215,0.0009404785046330943,0.015822784810126583,316,5
Bronchial,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",2 dpi,3,0.0,0.0,0.0,204,0
Bronchial,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",3 dpi,1,0.051470588235294115,0.001569018169737731,0.04411764705882353,136,6
Bronchial,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",3 dpi,2,0.05181347150259067,0.0023092001810621487,0.05181347150259067,193,10
Bronchial,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",3 dpi,3,0.20085470085470086,0.007827204984164969,0.17094017094017094,234,40
Bronchial,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",5 dpi,1,0.0,0.0,0.0,109,0
Bronchial,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",5 dpi,2,0.09917355371900827,0.002919092228911245,0.045454545454545456,242,11
Bronchial,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",5 dpi,3,0.005847953216374269,0.0001491444329603234,0.005847953216374269,171,1
Bronchial,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",14 dpi,1,0.0,0.0,0.0,196,0
Bronchial,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",14 dpi,2,0.0,0.0,0.0,286,0
Bronchial,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",14 dpi,3,0.0,0.0,0.0,313,0
CD4+ T cells,Roborovski hamster,1x10$^4$ pfu,"Roborovski hamster, 1x10$^4$ pfu",2 dpi,1,0.007407407407407408,0.00016033349366682665,0.007407407407407408,135,1
CD4+ T cells,Roborovski hamster,1x10$^4$ pfu,"Roborovski hamster, 1x10$^4$ pfu",2 dpi,2,0.0,0.0,0.0,251,0
CD4+ T cells,Roborovski hamster,1x10$^4$ pfu,"Roborovski hamster, 1x10$^4$ pfu",2 dpi,3,0.0,0.0,0.0,241,0
CD4+ T cells,Roborovski hamster,1x10$^4$ pfu,"Roborovski hamster, 1x10$^4$ pfu",3 dpi,1,0.019230769230769232,0.0005096850998686259,0.019230769230769232,104,2
CD4+ T cells,Roborovski hamster,1x10$^4$ pfu,"Roborovski hamster, 1x10$^4$ pfu",3 dpi,2,0.012048192771084338,0.0003459142340248157,0.012048192771084338,83,1
CD4+ T cells,Roborovski hamster,1x10$^4$ pfu,"Roborovski hamster, 1x10$^4$ pfu",3 dpi,3,0.009433962264150943,0.00020955047232676415,0.009433962264150943,106,1
CD4+ T cells,Roborovski hamster,1x10$^5$ pfu,"Roborovski hamster, 1x10$^5$ pfu",2 dpi,1,0.14285714285714285,0.002797630037651576,0.09523809523809523,21,2
CD4+ T cells,Roborovski hamster,1x10$^5$ pfu,"Roborovski hamster, 1x10$^5$ pfu",2 dpi,2,8.18918918918919,0.2337858990394915,0.35135135135135137,37,13
CD4+ T cells,Roborovski hamster,1x10$^5$ pfu,"Roborovski hamster, 1x10$^5$ pfu",2 dpi,3,0.22448979591836735,0.005922170813152561,0.20408163265306123,49,10
CD4+ T cells,Roborovski hamster,1x10$^5$ pfu,"Roborovski hamster, 1x10$^5$ pfu",3 dpi,1,0.22784810126582278,0.005603856740157459,0.13924050632911392,79,11
CD4+ T cells,Roborovski hamster,1x10$^5$ pfu,"Roborovski hamster, 1x10$^5$ pfu",3 dpi,2,0.29508196721311475,0.007784355328280532,0.08196721311475409,61,5
