,index,freq,total,organism,time,hamster,dummy,dose,total_log10
409,InterstitialMacrophages,0.014634146341463415,38048.78048780488,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,4.580340741634726
410,Plasma cells,0.00894308943089431,23252.032520325203,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,4.3664609216896455
411,SmoothMuscle,0.006910569105691057,17967.47967479675,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,4.254487162245713
412,Myofibroblast,0.006097560975609756,15853.658536585366,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,4.20012949992312
413,Erythrocytes,0.004878048780487805,12682.926829268292,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,4.103219486915064
414,pDC,0.004878048780487805,12682.926829268292,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,4.103219486915064
415,cDC,0.004471544715447155,11626.016260162602,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,4.065430926025664
416,ILC2,0.004471544715447155,11626.016260162602,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,4.065430926025664
417,AT1,0.0040650406504065045,10569.105691056911,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,4.024038240867439
418,Platelets,0.0024390243902439024,6341.463414634146,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,3.8021894912510823
419,Ciliated,0.0016260162601626016,4227.642276422765,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,3.6260982321954014
420,Fibroblasts,0.0012195121951219512,3170.731707317073,Dwarfhamster,D2,2,Dwarfhamster_D2_low dose,low dose,3.501159495587101
421,Bcells,0.2255076594228714,572789.4549340934,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,5.757995014002854
422,T cells,0.19665122907018168,499494.12183826143,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,5.698530381714698
423,Endothelial cells,0.15603847524047026,396337.72711079445,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,5.598065414489598
424,Neutrophils,0.11970074812967581,304039.90024937654,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,5.482930581375343
425,NK cells,0.06697541859636623,170117.56323477023,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,5.230749153249179
426,Treml4+Macrophages,0.057712860705379405,146590.66619166368,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,5.16610631852813
427,AlveolarMacrophages,0.04096900605628785,104061.27538297114,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,5.01728914433911
428,AT2,0.026006412540078374,66056.28785179908,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,4.819914164105954
429,SmoothMuscle,0.018525115781973637,47053.794086213034,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,4.672594647620298
430,InterstitialMacrophages,0.01816886355539722,46148.91343070894,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,4.664161480083435
431,Mast cells,0.016387602422515142,41624.51015318846,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,4.619349135667073
432,MonocyticMacrophages,0.016387602422515142,41624.51015318846,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,4.619349135667073
433,Myofibroblast,0.011400071250445315,28956.1809761311,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,4.461741282305405
434,pDC,0.009618810117563235,24431.77769861062,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,4.387955068144486
435,Plasma cells,0.006056287851799074,15382.971143569646,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,4.187040225363773
436,ILC2,0.003918774492340577,9953.687210545066,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,3.997983989143724
437,cDC,0.0028500178126113287,7239.045244032775,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,3.8596812909774427
438,Erythrocytes,0.0024937655860349127,6334.164588528678,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,3.801689343999756
439,Fibroblasts,0.0014250089063056644,3619.5226220163877,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,3.5586512953134615
440,Ciliated,0.0014250089063056644,3619.5226220163877,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,3.5586512953134615
441,AT1,0.0010687566797292483,2714.6419665122908,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,3.4337125587051616
442,Platelets,0.0007125044531528322,1809.7613110081938,Dwarfhamster,D2,3,Dwarfhamster_D2_low dose,low dose,3.25762129964948
443,Bcells,0.3407861521817526,3731608.366390191,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,6.571896058107538
444,Endothelial cells,0.15290299314821493,1674287.7749729534,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,6.223830106191008
445,T cells,0.12188965019834115,1334691.6696718356,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,6.125380949875931
446,Neutrophils,0.08402452217814642,920068.5178507033,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,5.963820170624294
447,AT2,0.05878110349801659,643653.0833032817,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,5.808651854002234
448,MonocyticMacrophages,0.05589614136314461,612062.7479264335,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,5.786795947768567
449,Treml4+Macrophages,0.04543815362423368,497547.7821853588,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,5.696834794715838
450,NK cells,0.029570861882437793,323800.9376126938,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,5.510278101981992
451,AlveolarMacrophages,0.0288496213487198,315903.3537684818,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,5.499554236590219
452,Myofibroblast,0.01983411467724486,217183.55571583123,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,5.33682693909252
453,AT1,0.01694915254237288,185593.22033898305,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,5.268562107533993
454,SmoothMuscle,0.010818608005769925,118463.75766318067,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,5.073585504317938
455,InterstitialMacrophages,0.009736747205192933,106617.38189686261,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,5.027828013757262
456,Plasma cells,0.007573025604038947,82924.63036422647,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,4.918683544332195
457,cDC,0.006491164803461955,71078.25459790841,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,4.851736754701582
458,Fibroblasts,0.0025243418680129825,27641.543454742157,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,4.441562289612532
459,Erythrocytes,0.0018031013342949874,19743.959610530113,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,4.295434253934294
460,Ciliated,0.0018031013342949874,19743.959610530113,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,4.295434253934294
461,ILC2,0.0018031013342949874,19743.959610530113,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,4.295434253934294
462,pDC,0.00144248106743599,15795.16768842409,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,4.198524240926238
463,Mast cells,0.0010818608005769925,11846.375766318068,Dwarfhamster,D3,1,Dwarfhamster_D3_low dose,low dose,4.073585504317938
464,Endothelial cells,0.1855036855036855,1623157.2481572481,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,6.210360595426281
465,T cells,0.16953316953316952,1483415.2334152332,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,6.1712627345343485
466,Bcells,0.138001638001638,1207514.3325143326,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,6.081892294284788
467,Neutrophils,0.12162162162162163,1064189.1891891893,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,6.027018842730662
468,MonocyticMacrophages,0.08435708435708436,738124.4881244882,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,5.868129613782603
469,InterstitialMacrophages,0.06265356265356266,548218.6732186732,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,5.738953824231048
470,NK cells,0.04873054873054873,426392.3013923014,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,5.62980935480598
471,AT2,0.03480753480753481,304565.9295659296,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,5.483681319127743
472,Treml4+Macrophages,0.03153153153153153,275900.9009009009,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,5.440753118585931
473,AlveolarMacrophages,0.027436527436527438,240069.61506961507,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,5.380337196114276
474,Myofibroblast,0.020065520065520065,175573.30057330057,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,5.244458473441963
475,AT1,0.01760851760851761,154074.52907452907,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,5.187730848993036
476,cDC,0.014332514332514333,125409.50040950041,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,5.0983304377637255
477,pDC,0.012694512694512694,111076.98607698607,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,5.045624087247722
478,SmoothMuscle,0.0085995085995086,75245.70024570025,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,4.8764816881473685
479,Plasma cells,0.006552006552006552,57330.05733005733,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,4.758382376069374
480,Erythrocytes,0.0045045045045045045,39414.414414414416,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,4.595655078571674
481,Ciliated,0.0036855036855036856,32248.157248157248,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,4.508504902852774
482,Mast cells,0.003276003276003276,28665.028665028665,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,4.457352380405393
483,Fibroblasts,0.0028665028665028664,25081.90008190008,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,4.399360433427707
484,ILC2,0.001638001638001638,14332.514332514333,Dwarfhamster,D3,2,Dwarfhamster_D3_low dose,low dose,4.156322384741412
485,Endothelial cells,0.23496614894464357,1409796.8936678614,Dwarfhamster,D3,3,Dwarfhamster_D3_low dose,low dose,6.149156549312865
486,Bcells,0.20987654320987653,1259259.259259259,Dwarfhamster,D3,3,Dwarfhamster_D3_low dose,low dose,6.1001151528832676
487,T cells,0.13221823974512145,793309.4384707287,Dwarfhamster,D3,3,Dwarfhamster_D3_low dose,low dose,5.8994426213747575
488,Neutrophils,0.07885304659498207,473118.27956989245,Dwarfhamster,D3,3,Dwarfhamster_D3_low dose,low dose,5.674969727932252
489,AlveolarMacrophages,0.06013540422142573,360812.42532855435,Dwarfhamster,D3,3,Dwarfhamster_D3_low dose,low dose,5.557281484963891
490,AT2,0.054958183990442055,329749.10394265235,Dwarfhamster,D3,3,Dwarfhamster_D3_low dose,low dose,5.518183624071958
491,MonocyticMacrophages,0.04460374352847471,267622.4611708483,Dwarfhamster,D3,3,Dwarfhamster_D3_low dose,low dose,5.427522560340903
492,Treml4+Macrophages,0.04340900039824771,260454.00238948624,Dwarfhamster,D3,3,Dwarfhamster_D3_low dose,low dose,5.415731035611345
493,NK cells,0.0326563122262047,195937.8733572282,Dwarfhamster,D3,3,Dwarfhamster_D3_low dose,low dose,5.292118390054438
